Time,RobotMode,BatteryVoltage,LagTime,Throttle,LeftMotorOut,RightMotorOut,Velocity,Distance,Ultrasonic,GyroAngle,PSIReadout,ArmState,ShiftHigh,ShooterState
06:54:57.196 PM 12/27/2014,Teleop Enabled,12.133863,50.000000,0.000000,0.000000,0.000000,179.956897,662.547450,86.065327,7.138789,96.789539,TRUE,FALSE,Unready
06:54:57.297 PM 12/27/2014,Teleop Enabled,12.121298,50.000000,0.000000,0.000000,0.000000,0.304021,662.572500,86.308125,7.129752,94.180286,TRUE,FALSE,Unready
06:54:57.397 PM 12/27/2014,Teleop Enabled,12.127581,49.000000,0.000000,0.000000,0.000000,-0.982122,662.171700,86.295718,7.322577,92.944325,TRUE,FALSE,Unready
06:54:57.497 PM 12/27/2014,Teleop Enabled,12.115016,51.000000,0.000000,0.000000,0.000000,Inf,661.821000,86.226990,7.264529,91.571034,TRUE,FALSE,Unready
06:54:57.598 PM 12/27/2014,Teleop Enabled,12.108733,51.000000,0.000000,0.000000,0.000000,0.267556,661.733325,86.343888,7.287730,91.204823,TRUE,FALSE,Unready
06:54:57.699 PM 12/27/2014,Teleop Enabled,12.108733,50.000000,0.000000,0.000000,0.000000,-1605.769231,661.583025,86.327831,7.445117,91.021717,TRUE,FALSE,Unready
06:54:57.800 PM 12/27/2014,Teleop Enabled,12.140146,50.000000,0.000000,0.000000,0.000000,0.591360,661.620600,86.213487,7.426254,90.884388,TRUE,FALSE,Unready
06:54:57.901 PM 12/27/2014,Teleop Enabled,12.083604,51.000000,0.000000,0.000000,0.000000,-535.256410,661.507875,86.180887,7.487199,90.838612,TRUE,FALSE,Unready
06:54:58.001 PM 12/27/2014,Teleop Enabled,12.083604,50.000000,0.000000,0.000000,0.000000,0.000000,661.507875,86.176630,7.455391,90.975941,FALSE,FALSE,Unready
06:54:58.103 PM 12/27/2014,Teleop Enabled,12.246948,51.000000,0.000000,0.000000,0.000000,-0.663414,661.432725,86.319316,7.456454,89.419545,FALSE,FALSE,Unready
06:54:58.204 PM 12/27/2014,Teleop Enabled,12.221818,50.000000,0.000000,0.000000,0.000000,0.000000,661.432725,86.261536,7.504541,88.778676,FALSE,FALSE,Unready
06:54:58.304 PM 12/27/2014,Teleop Enabled,12.253230,51.000000,0.000000,0.000000,0.000000,-0.049193,661.407675,86.253021,7.530827,88.412465,FALSE,FALSE,Unready
06:54:58.405 PM 12/27/2014,Teleop Enabled,12.234383,50.000000,0.000000,0.000000,0.000000,-0.054575,661.357575,86.075545,7.529160,88.000477,FALSE,FALSE,Unready
06:54:58.506 PM 12/27/2014,Teleop Enabled,12.246948,51.000000,0.000000,0.000000,0.000000,-0.124759,661.232325,86.168845,7.510328,87.222279,FALSE,FALSE,Unready
06:54:58.607 PM 12/27/2014,Teleop Enabled,12.253230,50.000000,0.000000,0.000000,0.000000,0.000000,661.207275,86.039782,7.441722,85.803212,FALSE,FALSE,Unready
06:54:58.707 PM 12/27/2014,Teleop Enabled,12.221818,49.000000,0.000000,0.000000,0.000000,-20875.000000,661.182225,86.136245,7.465776,83.468617,FALSE,FALSE,Unready
06:54:58.807 PM 12/27/2014,Teleop Enabled,12.190406,50.000000,0.000000,0.000000,0.000000,0.422708,661.257375,85.466483,7.300304,81.134023,FALSE,FALSE,Unready
06:54:58.907 PM 12/27/2014,Teleop Enabled,12.152711,50.000000,0.000000,0.000000,0.000000,1227.941176,661.457775,83.522520,6.773478,80.401601,FALSE,FALSE,Unready
06:54:59.008 PM 12/27/2014,Teleop Enabled,12.221818,50.000000,0.000000,0.000000,0.000000,-0.174160,661.119600,86.485236,6.594106,79.486074,FALSE,FALSE,Unready
06:54:59.107 PM 12/27/2014,Teleop Enabled,12.221818,50.000000,0.000000,0.000000,0.000000,-0.107245,660.856575,86.126392,6.597480,78.936758,FALSE,FALSE,Unready
06:54:59.207 PM 12/27/2014,Teleop Enabled,12.215535,50.000000,0.000000,0.000000,0.000000,0.000000,660.856575,86.204608,6.524839,78.662099,FALSE,FALSE,Unready
06:54:59.308 PM 12/27/2014,Teleop Enabled,12.177841,50.000000,0.000000,0.000000,0.000000,-0.071170,660.869100,86.169088,6.558445,78.524770,FALSE,FALSE,Unready
06:54:59.409 PM 12/27/2014,Teleop Enabled,12.133863,49.000000,0.000000,0.000000,0.000000,0.000000,660.831525,86.162884,6.558711,78.433218,FALSE,FALSE,Unready
06:54:59.510 PM 12/27/2014,Teleop Enabled,12.146428,50.000000,0.000000,0.000000,0.000000,68.218954,660.731325,86.162519,6.571250,78.478994,FALSE,FALSE,Unready
06:54:59.611 PM 12/27/2014,Teleop Enabled,12.158993,49.000000,0.000000,0.000000,0.000000,-0.193387,660.656175,86.144151,6.571538,78.662099,FALSE,FALSE,Unready
06:54:59.712 PM 12/27/2014,Teleop Enabled,12.202970,51.000000,0.000000,0.000000,0.000000,8.059846,660.543450,86.215555,6.589449,79.440298,FALSE,FALSE,Unready
06:54:59.814 PM 12/27/2014,Teleop Enabled,12.184123,49.000000,0.000000,0.000000,0.000000,-0.211858,660.430725,86.122013,6.593210,79.577627,FALSE,FALSE,Unready
06:54:59.915 PM 12/27/2014,Teleop Enabled,12.202970,50.000000,0.000000,0.000000,0.000000,-0.350487,660.305475,86.216528,6.595318,80.218496,FALSE,FALSE,Unready
06:55:00.016 PM 12/27/2014,Teleop Enabled,12.228100,50.000000,0.000000,0.000000,0.000000,107.051282,660.242850,86.171521,6.605329,81.179799,FALSE,FALSE,Unready
06:55:00.117 PM 12/27/2014,Teleop Enabled,12.215535,50.000000,0.000000,0.000000,0.000000,33.187599,660.205275,86.125297,6.615917,81.317128,FALSE,FALSE,Unready
06:55:00.218 PM 12/27/2014,Teleop Enabled,12.246948,50.000000,0.000000,0.000000,0.000000,5.839161,660.092550,86.179428,6.606595,81.957998,FALSE,FALSE,Unready
06:55:00.319 PM 12/27/2014,Teleop Enabled,12.272078,49.000000,0.000000,0.000000,0.000000,-0.295705,660.029925,86.154491,6.631342,82.324208,FALSE,FALSE,Unready
06:55:00.421 PM 12/27/2014,Teleop Enabled,12.253230,51.000000,0.000000,0.000000,0.000000,0.078254,660.029925,86.194268,6.636781,82.003774,FALSE,FALSE,Unready
06:55:00.522 PM 12/27/2014,Teleop Enabled,12.177841,50.000000,0.000000,0.000000,0.000000,0.547024,659.929725,86.175778,6.634684,82.095327,FALSE,FALSE,Unready
06:55:00.623 PM 12/27/2014,Teleop Enabled,12.215535,50.000000,0.000000,0.000000,0.000000,0.455170,659.804475,86.147801,6.635370,82.278432,FALSE,FALSE,Unready
06:55:00.724 PM 12/27/2014,Teleop Enabled,12.221818,50.000000,0.000000,0.000000,0.000000,0.293271,659.716800,86.164344,6.639942,82.141103,FALSE,FALSE,Unready
06:55:00.825 PM 12/27/2014,Teleop Enabled,12.215535,49.000000,0.000000,0.000000,0.000000,-2609.375000,659.591550,86.163979,6.661486,82.278432,FALSE,FALSE,Unready
06:55:00.926 PM 12/27/2014,Teleop Enabled,12.246948,50.000000,0.000000,0.000000,0.000000,-156.954887,659.478825,86.165317,6.672666,82.324208,FALSE,FALSE,Unready
06:55:01.027 PM 12/27/2014,Teleop Enabled,12.259513,49.000000,0.000000,0.000000,0.000000,18.489814,659.391150,86.133447,6.673865,82.461537,FALSE,FALSE,Unready
06:55:01.128 PM 12/27/2014,Teleop Enabled,12.265795,50.000000,0.000000,0.000000,0.000000,-11.681589,659.265900,86.183077,6.678888,82.736196,FALSE,FALSE,Unready
06:55:01.229 PM 12/27/2014,Teleop Enabled,12.284643,50.000000,0.000000,0.000000,0.000000,2319.444444,659.190750,86.135393,6.674476,83.102407,FALSE,FALSE,Unready
06:55:01.330 PM 12/27/2014,Teleop Enabled,12.253230,50.000000,0.000000,0.000000,0.000000,74.553571,659.153175,86.185510,6.684274,83.605947,FALSE,FALSE,Unready
06:55:01.431 PM 12/27/2014,Teleop Enabled,12.234383,49.000000,0.000000,0.000000,0.000000,0.213413,659.115600,86.159722,6.680523,84.109487,FALSE,FALSE,Unready
06:55:01.532 PM 12/27/2014,Teleop Enabled,12.221818,49.000000,0.000000,0.000000,0.000000,0.268873,658.952775,86.184172,6.679698,84.567250,FALSE,FALSE,Unready
06:55:01.633 PM 12/27/2014,Teleop Enabled,12.127581,50.000000,0.000000,0.000000,0.000000,-0.205303,658.877625,86.172981,6.679339,85.116567,FALSE,FALSE,Unready
06:55:01.734 PM 12/27/2014,Teleop Enabled,12.140146,49.000000,0.000000,0.000000,0.000000,19.619361,658.840050,86.158019,6.681426,85.437001,FALSE,FALSE,Unready
06:55:01.835 PM 12/27/2014,Teleop Enabled,12.146428,50.000000,0.000000,0.000000,0.000000,-0.334091,658.739850,86.148531,6.680914,85.665883,FALSE,FALSE,Unready
06:55:01.936 PM 12/27/2014,Teleop Enabled,12.171558,50.000000,0.000000,0.000000,0.000000,-0.291058,658.551975,86.201080,6.677121,85.894765,FALSE,FALSE,Unready
06:55:02.037 PM 12/27/2014,Teleop Enabled,12.190406,49.000000,0.000000,0.000000,0.000000,-0.148402,658.401675,86.181860,6.689852,86.169423,FALSE,FALSE,Unready
06:55:02.137 PM 12/27/2014,Teleop Enabled,12.196688,49.000000,0.000000,0.000000,0.000000,1.403456,658.326525,86.158627,6.696695,86.169423,FALSE,FALSE,Unready
06:55:02.237 PM 12/27/2014,Teleop Enabled,12.215535,50.000000,0.000000,0.000000,0.000000,2319.444444,658.226325,86.133325,6.692372,86.169423,FALSE,FALSE,Unready
06:55:02.337 PM 12/27/2014,Teleop Enabled,12.234383,50.000000,0.000000,0.000000,0.000000,-1.060937,658.113600,86.204121,6.704470,85.986317,FALSE,FALSE,Unready
06:55:02.437 PM 12/27/2014,Teleop Enabled,12.234383,51.000000,0.000000,0.000000,0.000000,-2609.375000,657.838050,86.162276,6.711641,86.398305,FALSE,FALSE,Unready
06:55:02.537 PM 12/27/2014,Teleop Enabled,12.240665,50.000000,0.000000,0.000000,0.000000,-0.481079,657.750375,86.175413,6.722850,86.215199,FALSE,FALSE,Unready
06:55:02.638 PM 12/27/2014,Teleop Enabled,12.265795,50.000000,0.000000,0.000000,0.000000,-2609.375000,657.687750,86.209473,6.727422,86.444081,FALSE,FALSE,Unready
06:55:02.738 PM 12/27/2014,Teleop Enabled,12.284643,51.000000,0.000000,0.000000,0.000000,-0.075922,657.700275,86.186361,6.736406,86.672963,FALSE,FALSE,Unready
